genoma	lineage
cory1	C6
cory2	C1
cory3	C1
cory4	C1
cory5	C1
cory6	C1
cory7	C1
cory8	C1
cory9	C9
cory10	C5
cory11	C5
cory12	C5
cory13	C1
cory14	C1
cory15	C5
cory16	C5
cory17	C5
cory18	C5
cory19	C5
cory20	C5
cory21	C1
cory22	C1
cory23	C1
cory24	C1
cory25	C2
cory26	C2
cory27	C6
cory28	C5
cory29	C1
cory30	C3
cory31	C2
cory32	C3
cory33	C2
cory34	C2
cory35	C2
cory36	C2
cory37	C2
cory38	C1
cory39	C3
cory40	C9
cory41	C2
cory42	C2
cory43	C2
cory44	C3
cory45	C2
cory46	C2
cory47	C2
cory48	C2
cory49	C1
cory50	C1
cory51	C2
cory52	C2
cory53	C1
cory54	C1
cory55	C4
cory56	C2
cory57	C3
cory58	C7
cory59	C3
cory60	C7
cory61	C2
cory62	C2
cory63	C2
cory64	C2
cory65	C3
cory66	C3
cory67	C8
cory68	C3
cory69	C3
cory70	C3
cory71	C3
cory72	C4
cory73	C3
cory74	C1
cory75	C9
cory76	C2
cory77	C1
cory78	C3
cory79	C2
cory80	C2
cory81	C2
cory82	C9
cory83	C2
cory84	C9
cory85	C1
cory86	C2
cory87	C1
cory88	C3
cory89	C1
cory90	C3
cory91	C3
cory92	C1
cory93	C2
cory94	C3
cory95	C9
cory96	C9
cory97	C3
cory98	C1
cory99	C3
cory100	C1
cory101	C1
cory102	C9
cory103	C7
cory104	C9
cory105	C7
cory106	C2
cory107	C2
cory108	C9
cory109	C3
cory110	C3
cory111	C7
cory112	C3
cory113	C3
cory114	C2
cory115	C2
cory116	C3
cory117	C3
cory118	C7
cory119	C2
cory120	C2
cory121	C2
cory122	C7
cory123	C2
cory124	C2
cory125	C2
cory126	C7
cory127	C1
cory128	C3
cory129	C2
cory130	C2
cory131	C2
cory132	C2
cory133	C2
cory134	C2
cory135	C3
cory136	C2
cory137	C9
cory138	C2
cory139	C3
cory140	C2
cory141	C1
cory142	C2
cory143	C3
cory144	C2
cory145	C2
cory146	C2
cory147	C3
cory148	C2
cory149	C3
cory150	C3
cory151	C9
cory152	C7
cory153	C3
cory154	C2
cory155	C9
cory156	C2
cory157	C9
cory158	C2
cory159	C3
cory160	C1
cory161	C2
cory162	C2
cory163	C9
cory164	C8
cory165	C2
cory166	C3
cory167	C3
cory168	C3
cory169	C3
cory170	C3
cory171	C1
cory172	C3
cory173	C6
cory174	C9
cory175	C1
cory176	C3
cory177	C3
cory178	C2
cory179	C3
cory180	C2
cory181	C3
cory182	C3
cory183	C3
cory184	C3
cory185	C1
cory186	C2
cory187	C3
cory188	C2
cory189	C2
cory190	C4
cory191	C9
cory192	C3
cory193	C2
cory194	C2
cory195	C3
cory196	C2
cory197	C2
cory198	C2
cory199	C2
cory200	C1
cory201	C2
cory202	C2
cory203	C8
cory204	C2
cory205	C2
cory206	C7
cory207	C2
cory208	C2
cory209	C3
cory210	C3
cory211	C2
cory212	C8
cory213	C9
cory214	C2
cory215	C2
cory216	C2
cory217	C8
cory218	C9
cory219	C9
cory220	C2
cory221	C1
cory222	C2
cory223	C3
cory224	C9
cory225	C2
cory226	C3
cory227	C2
cory228	C9
cory229	C2
cory230	C2
cory231	C3
cory232	C4
cory233	C3
cory234	C3
cory235	C2
cory236	C9
cory237	C2
cory238	C2
cory239	C2
cory240	C7
cory241	C9
cory242	C2
cory243	C2
cory244	C2
cory245	C3
cory246	C2
cory247	C2
cory248	C2
cory249	C1
cory250	C2
cory251	C2
cory252	C3
cory253	C3
cory254	C2
cory255	C9
cory256	C1
cory257	C1
cory258	C1
cory259	C1
cory260	C1
cory261	C2
cory263	C1
cory264	C4
cory265	C3
cory266	C7
cory267	C4
cory268	C4

		
